target_draw_no,target_date,combo_index,numbers,actual_main,actual_bonus,main_match,bonus_match,prize_rank
107,2015-05-01,4,01 04 11 15 28 29 35,03 08 09 13 17 27 33,29 31,0,1,外れ
107,2015-05-01,5,03 04 11 23 28 30 35,03 08 09 13 17 27 33,29 31,1,0,外れ
108,2015-05-08,1,01 03 04 11 23 28 35,02 06 07 08 28 30 36,18 21,1,0,外れ
108,2015-05-08,2,03 04 11 13 24 28 35,02 06 07 08 28 30 36,18 21,1,0,外れ
108,2015-05-08,3,01 04 11 13 28 35 36,02 06 07 08 28 30 36,18 21,2,0,外れ
108,2015-05-08,4,01 03 11 13 28 29 35,02 06 07 08 28 30 36,18 21,1,0,外れ
108,2015-05-08,5,01 03 08 11 28 35 36,02 06 07 08 28 30 36,18 21,3,0,外れ
109,2015-05-15,1,01 03 08 11 28 35 36,06 17 20 21 24 30 32,07 23,0,0,外れ
109,2015-05-15,2,03 08 11 13 28 30 35,06 17 20 21 24 30 32,07 23,1,0,外れ
109,2015-05-15,3,01 03 04 11 28 30 35,06 17 20 21 24 30 32,07 23,1,0,外れ
109,2015-05-15,4,04 08 11 13 28 35 36,06 17 20 21 24 30 32,07 23,0,0,外れ
109,2015-05-15,5,03 04 08 11 23 28 35,06 17 20 21 24 30 32,07 23,0,1,外れ
110,2015-05-22,1,01 03 08 11 28 30 35,04 12 22 30 31 35 36,19 37,2,0,外れ
110,2015-05-22,2,04 08 11 13 28 30 35,04 12 22 30 31 35 36,19 37,3,0,外れ
110,2015-05-22,3,03 11 13 28 30 35 36,04 12 22 30 31 35 36,19 37,3,0,外れ
110,2015-05-22,4,01 04 11 28 30 35 36,04 12 22 30 31 35 36,19 37,4,0,5等
110,2015-05-22,5,03 04 11 24 28 30 35,04 12 22 30 31 35 36,19 37,3,0,外れ
111,2015-05-29,1,01 04 11 28 30 35 36,07 08 09 24 28 30 33,01 34,2,1,外れ
111,2015-05-29,2,03 08 11 28 30 35 36,07 08 09 24 28 30 33,01 34,3,0,外れ
